GEO_ID,NAME,S1902_C01_001E
17001,"Adams County, Illinois",27112
17003,"Alexander County, Illinois",2154
17005,"Bond County, Illinois",6299
17007,"Boone County, Illinois",18571
17009,"Brown County, Illinois",2055
17011,"Bureau County, Illinois",13698
17013,"Calhoun County, Illinois",1664
17015,"Carroll County, Illinois",6508
17017,"Cass County, Illinois",5043
17019,"Champaign County, Illinois",82369
17021,"Christian County, Illinois",13901
17023,"Clark County, Illinois",6720
17025,"Clay County, Illinois",5696
17027,"Clinton County, Illinois",14353
17029,"Coles County, Illinois",20926
17031,"Cook County, Illinois",1972108
17033,"Crawford County, Illinois",7666
17035,"Cumberland County, Illinois",4299
17037,"DeKalb County, Illinois",38150
17039,"De Witt County, Illinois",6694
17041,"Douglas County, Illinois",7613
17043,"DuPage County, Illinois",342791
17045,"Edgar County, Illinois",7542
17047,"Edwards County, Illinois",2773
17049,"Effingham County, Illinois",13877
17051,"Fayette County, Illinois",7737
17053,"Ford County, Illinois",5771
17055,"Franklin County, Illinois",16235
17057,"Fulton County, Illinois",13940
17059,"Gallatin County, Illinois",2293
17061,"Greene County, Illinois",4949
17063,"Grundy County, Illinois",19676
17065,"Hamilton County, Illinois",3400
17067,"Hancock County, Illinois",7409
17069,"Hardin County, Illinois",1363
17071,"Henderson County, Illinois",2977
17073,"Henry County, Illinois",19856
17075,"Iroquois County, Illinois",11741
17077,"Jackson County, Illinois",23883
17079,"Jasper County, Illinois",3711
17081,"Jefferson County, Illinois",14985
17083,"Jersey County, Illinois",8499
17085,"Jo Daviess County, Illinois",9970
17087,"Johnson County, Illinois",4303
17089,"Kane County, Illinois",179637
17091,"Kankakee County, Illinois",39796
17093,"Kendall County, Illinois",40721
17095,"Knox County, Illinois",20680
17097,"Lake County, Illinois",246122
17099,"LaSalle County, Illinois",45095
17101,"Lawrence County, Illinois",6306
17103,"Lee County, Illinois",13788
17105,"Livingston County, Illinois",14307
17107,"Logan County, Illinois",10797
17109,"McDonough County, Illinois",11408
17111,"McHenry County, Illinois",112453
17113,"McLean County, Illinois",65845
17115,"Macon County, Illinois",43912
17117,"Macoupin County, Illinois",18875
17119,"Madison County, Illinois",107659
17121,"Marion County, Illinois",15946
17123,"Marshall County, Illinois",4884
17125,"Mason County, Illinois",5977
17127,"Massac County, Illinois",5822
17129,"Menard County, Illinois",5188
17131,"Mercer County, Illinois",6516
17133,"Monroe County, Illinois",13586
17135,"Montgomery County, Illinois",11522
17137,"Morgan County, Illinois",13719
17139,"Moultrie County, Illinois",5959
17141,"Ogle County, Illinois",21021
17143,"Peoria County, Illinois",73253
17145,"Perry County, Illinois",8433
17147,"Piatt County, Illinois",6692
17149,"Pike County, Illinois",6309
17151,"Pope County, Illinois",1694
17153,"Pulaski County, Illinois",2095
17155,"Putnam County, Illinois",2413
17157,"Randolph County, Illinois",11883
17159,"Richland County, Illinois",6452
17161,"Rock Island County, Illinois",60546
17163,"St. Clair County, Illinois",104105
17165,"Saline County, Illinois",9972
17167,"Sangamon County, Illinois",83711
17169,"Schuyler County, Illinois",2775
17171,"Scott County, Illinois",1939
17173,"Shelby County, Illinois",9189
17175,"Stark County, Illinois",2315
17177,"Stephenson County, Illinois",19739
17179,"Tazewell County, Illinois",54291
17181,"Union County, Illinois",6654
17183,"Vermilion County, Illinois",31151
17185,"Wabash County, Illinois",4839
17187,"Warren County, Illinois",6862
17189,"Washington County, Illinois",6020
17191,"Wayne County, Illinois",7051
17193,"White County, Illinois",6041
17195,"Whiteside County, Illinois",23084
17197,"Will County, Illinois",229498
17199,"Williamson County, Illinois",27029
17201,"Winnebago County, Illinois",114779
17203,"Woodford County, Illinois",14499
,,
,,47511.11765
